eval,event,obj,cv,dou,mean,std,s_star,s_lo,s_hi,sim_s,P0=P1,P2,P3,P4,P5,P6,P7,PPFD_per_W
92,skipped,1.0814262157173147,1.0,0.0,0.0,0.0,0.855827271469021,0.9902088737318336,0.9902088744690277,0.0,55.000202619242266,65.00062690669164,65.00062690669164,54.06095788156933,64.99999998697155,40.00000001488967,79.99999997022067,0.20006133584479746
93,skipped,1.0830804193741763,1.0,0.0,0.0,0.0,0.8561924799478523,0.9938015645427223,0.993801565282591,0.0,55.00020261924226,65.00062690669162,65.00062690669162,55.44900684127754,64.99999998697153,40.000000014889665,79.99999997022066,0.20006133584479746
94,skipped,1.0821168668752057,1.0,0.0,0.0,0.0,0.8559879506242722,0.9917155773652178,0.9917155781035335,0.0,55.00020261924227,65.00062690669165,65.00062690669165,54.639407806706416,64.99999998697155,40.00000001488967,79.99999997022067,0.20006133584479746
95,skipped,1.0827500398947287,1.0,0.0,0.0,0.0,0.8561249035693109,0.9930884132635658,0.9930884140029036,0.0,55.000202619242266,65.00062690669164,65.00062690669164,55.17107457736801,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
96,skipped,1.082382128422898,1.0,0.0,0.0,0.0,0.8560465225119037,0.992291691827017,0.9922916925657616,0.0,55.000202619242266,65.00062690669162,65.00062690669162,54.86198600337824,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
97,skipped,1.0826241726923445,1.0,0.0,0.0,0.0,0.8560984605925364,0.9928161488110586,0.9928161495501936,0.0,55.00020261924226,65.00062690669164,65.00062690669164,55.06528196796575,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
98,skipped,1.0824836623087348,1.0,0.0,0.0,0.0,0.8560684843831547,0.992511836285864,0.9925118370247727,0.0,55.00020261924226,65.00062690669164,65.00062690669164,54.94724241110611,64.99999998697155,40.00000001488967,79.99999997022066,0.20006133584479746
99,skipped,1.08257614328524,1.0,0.0,0.0,0.0,0.8560882683859699,0.9927121727492038,0.9927121734882616,0.0,55.00020261924226,65.00062690669162,65.00062690669162,55.02492635088263,64.99999998697155,40.000000014889665,79.99999997022066,0.20006133584479746
100,skipped,1.082522475905422,1.0,0.0,0.0,0.0,0.856076813066577,0.9925959368740978,0.9925959376130689,0.0,55.00020261924226,65.00062690669162,65.00062690669162,54.979842417259235,64.99999998697153,40.000000014889665,79.99999997022067,0.20006133584479746
101,skipped,1.082557804624187,1.0,0.0,0.0,0.0,0.856084361913689,0.9926724603028446,0.9926724610418728,0.0,55.000202619242266,65.00062690669162,65.00062690669162,55.00951968431244,64.99999998697153,40.000000014889665,79.99999997022066,0.20006133584479746
102,skipped,1.0825373059193926,1.0,0.0,0.0,0.0,0.8560799855803741,0.9926280623202013,0.9926280630591966,0.0,55.000202619242266,65.00062690669164,65.00062690669164,54.992299615418645,64.99999998697155,40.00000001488967,79.99999997022066,0.20006133584479746
103,skipped,1.0825508008914626,1.0,0.0,0.0,0.0,0.8560828678202431,0.9926572919178592,0.9926572926568761,0.0,55.00020261924226,65.00062690669162,65.00062690669162,55.00363600011936,64.99999998697153,40.000000014889665,79.99999997022067,0.20006133584479746
104,skipped,1.0825429711429324,1.0,0.0,0.0,0.0,0.8560811960943904,0.9926403334227674,0.9926403341617716,0.0,55.000202619242266,65.00062690669164,65.00062690669164,54.9970585864898,64.99999998697155,40.000000014889665,79.99999997022067,0.20006133584479746
105,skipped,1.0825481258513694,1.0,0.0,0.0,0.0,0.8560822968423148,0.9926514981716938,0.9926514989107064,0.0,55.00020261924225,65.00062690669164,65.00062690669164,55.00138879890013,64.99999998697155,40.000000014889665,79.99999997022066,0.20006133584479746
106,skipped,1.0825451351623583,1.0,0.0,0.0,0.0,0.8560816582830555,0.992645020606768,0.9926450213457757,0.0,55.00020261924226,65.00062690669162,65.00062690669162,54.99887646032873,64.99999998697155,40.00000001488967,79.99999997022066,0.20006133584479746
107,skipped,1.082547104098551,1.0,0.0,0.0,0.0,0.8560820787065759,0.9926492851665712,0.992649285905582,0.0,55.00020261924225,65.00062690669162,65.00062690669162,55.000530468671165,64.99999998697153,40.000000014889665,79.99999997022066,0.20006133584479746
108,skipped,1.0825459617583035,1.0,0.0,0.0,0.0,0.8560818347961957,0.9926468109575334,0.9926468116965425,0.0,55.00020261924225,65.00062690669162,65.00062690669162,54.999570842186536,64.99999998697153,40.000000014889665,79.99999997022066,0.20006133584479746
109,cached,0.10523328762901683,0.02268782323702079,97.73121767629792,1391.426591111111,31.568440546419293,0.8560808022841824,0.9926446596259467,0.9926446603649541,8.893213987350464,55.00000001861207,65.00000001116724,65.00000001116724,55.00000001861207,65.00000001116724,40.000000029779336,80.0,0.20006133584479746
110,cached,0.10523328762901683,0.02268782323702079,97.73121767629792,1391.426591111111,31.568440546419293,0.8560808022841824,0.9926446596259467,0.9926446603649541,8.893213987350464,55.00000001861207,65.00000001116724,65.00000001116724,55.00000001861207,65.00000001116724,40.000000029779336,80.0,0.20006133584479746
111,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.1450844923824757,0.5184652844762885,0.0,48.03156707181917,56.764917623899215,56.764917623899215,48.03156707181917,154.30155575567514,34.93192010379562,69.86384015557876,0.20006133584479746
112,infeas,1.0,1.0,0.0,0.0,0.0,inf,2.4448890689204026,0.7877878675136596,0.0,69.81600619631523,82.5103173218906,82.5103173218906,69.81600619631523,16.36066049314169,50.775090197851725,101.55018032010103,0.20006133584479746
113,infeas,1.0,1.0,0.0,0.0,0.0,inf,1.0375445117681237,0.9087645102534454,0.0,60.52195262816396,71.52637036052337,71.52637036052337,60.52195262816396,38.55256285037285,44.01580341052682,88.03160675551557,0.20006133584479746
