eval,cached,obj,mean,std,cv,dou,sim_s,p0,p1,p2,p3,p4,p5,p6,p7
62,0,0.10615739752164366,1298.3741444444445,73.96879736935796,0.05697032529942141,94.30296747005787,8.336103916168213,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,68.26237921249263,40.0,80.0
63,0,0.0815475851869067,1188.7050155555555,90.22282118825335,0.07590009296468446,92.40999070353155,8.17891788482666,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,41.52475842498528,40.0,80.0
64,0,0.07592528210866129,1211.7048222222222,84.90763569468724,0.07007287099755018,92.99271290024498,8.219925165176392,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,40.0,80.0
65,0,0.07697775717464715,1211.5530133333332,86.26408960604536,0.07120125050798055,92.87987494920195,8.179204940795898,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,46.763419820197285,40.0,80.0
66,0,0.07935105352618668,1220.8373444444446,84.15522533736375,0.06893238130396437,93.10676186960356,8.177663087844849,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,48.78283017480737,40.0,80.0
67,0,0.07841212118922893,1218.201197777778,84.43537948607532,0.06931152230033998,93.068847769966,8.30954122543335,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.737977566777246,40.0,80.0
68,0,0.07609475154602048,1214.26308,83.73948165856241,0.0689632115460205,93.10367884539795,8.426023960113525,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.17555674072925,40.0,80.0
69,0,0.07714194032148923,1212.9107044444445,85.7365193662562,0.07068658809926698,92.9313411900733,8.538444995880127,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.00888954283207,40.0,80.0
70,0,0.11814884168653153,1270.441377777778,105.35535669680313,0.08292815279764258,91.70718472023574,8.36984896659851,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,51.73762078750735,80.0
71,0,0.17561481087255504,1347.4957266666668,137.26527649767868,0.10186694753922164,89.81330524607783,8.409484148025513,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,68.26237921249263,80.0
72,0,0.08010497273595536,1219.6038577777779,85.74186348940248,0.07030304384706643,92.96969561529336,8.422926187515259,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,41.52475842498528,80.0
73,0,0.07091730910047499,1190.47204,78.7536886470339,0.06615332910047504,93.3846670899525,8.458577156066895,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,35.21286236252208,80.0
74,0,0.0747414835332519,1180.720837777778,76.86717276879727,0.06510190242214084,93.4898097577859,8.58873176574707,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,33.06945007698845,80.0
75,0,0.06929229003891327,1194.805651111111,79.6877010137801,0.06669511559446879,93.33048844055311,8.280752897262573,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,36.46934481502102,80.0
76,0,0.07250544969968939,1206.4009555555556,83.60958435134509,0.0693049719219116,93.06950280780883,8.297266960144043,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,38.40034098683856,80.0
77,0,0.0694394068125499,1195.4452977777778,80.2885636773742,0.0671620557014388,93.28379442985613,8.314465045928955,33.761325225388276,51.08127384250817,50.698422115677545,56.908269366679974,39.22638712299191,47.092223141780664,36.552678200722426,80.0
